BibTeX;Style;Referenzstring
"@Inproceedings{Vetter1982ScaleFA,
 author = {O. Vetter and V. Kandarpa},
 title = {Scale formation at various locations in a geothermal operation due to injection of imported waters},
 year = {1982}
}
";plain;"O. Vetter and V. Kandarpa. Scale formation at various locations in a geothermal operation due to injection of imported waters. 1982.
"
"@Article{Hirata2015EffectOI,
 author = {T. Hirata and H. Matsuno and D. Kawaguchi and N. Yamada and Masaru Tanaka and Keiji Tanaka and Keiji Tanaka},
 booktitle = {Physical Chemistry, Chemical Physics - PCCP},
 journal = {Physical chemistry chemical physics : PCCP},
 pages = {
          17399-405
        },
 title = {Effect of interfacial structure on bioinert properties of poly(2-methoxyethyl acrylate)/poly(methyl methacrylate) blend films in water.},
 volume = {17 26},
 year = {2015}
}
";plain;"T. Hirata, H. Matsuno, D. Kawaguchi, N. Yamada, Masaru Tanaka, Keiji Tanaka, and Keiji Tanaka. Effect of interfacial structure on bioinert properties of poly(2-methoxyethyl acrylate)/poly(methyl methacrylate) blend films in water. Physical chemistry chemical physics : PCCP, 17 26:17399-405, 2015.
"
"@Inproceedings{LIShidong2004ReviewOC,
 author = {LIShidong and ZHAIHongbo},
 title = {Review of Conversion of Farmland to Forests Project：Ranking First in Investment in the World},
 year = {2004}
}
";plain;"LIShidong and ZHAIHongbo. Review of Conversion of Farmland to Forests Project：Ranking First in Investment in the World. 2004.
"
"@Inproceedings{Dizon2019BhutanPN,
 author = {F. Dizon and Chris Jackson and A. Adubi},
 pages = {1-72},
 title = {Bhutan Policy Note},
 year = {2019}
}
";plain;"F. Dizon, Chris Jackson, and A. Adubi. Bhutan Policy Note. 2019.
"
"@Article{Endo2023IntermolecularIS,
 author = {Satoshi Endo},
 booktitle = {Environmental Science and Technology},
 journal = {Environmental science & technology},
 title = {Intermolecular Interactions, Solute Descriptors, and Partition Properties of Neutral Per- and Polyfluoroalkyl Substances (PFAS).},
 year = {2023}
}
";plain;"Satoshi Endo. Intermolecular interactions, solute descriptors, and partition properties of neutral per- and polyfluoroalkyl substances (pfas). Environmental science & technology, 2023.
"
"@Article{Rachmawati2021GrowthOM,
 author = {Y. S. Rachmawati and Z. A. Akbar and L. Chaidir and A. A. Roosda},
 journal = {IOP Conference Series: Materials Science and Engineering},
 title = {Growth of mycelium oyster mushroom (Pleurotus ostreatus) in medium rice wastewater with coconut water},
 volume = {1098},
 year = {2021}
}
";plain;"Y. S. Rachmawati, Z. A. Akbar, L. Chaidir, and A. A. Roosda. Growth of mycelium oyster mushroom (pleurotus ostreatus) in medium rice wastewater with coconut water. IOP Conference Series: Materials Science and Engineering, 2021.
"
"@Article{Bandyopadhyay2006LowAH,
 author = {A. Bandyopadhyay and A. Bhowmick},
 journal = {Plastics, Rubber and Composites},
 pages = {210 - 218},
 title = {Low and high temperature degradation of polymer/in situ silica hybrid nanocomposites},
 volume = {35},
 year = {2006}
}
";plain;"A. Bandyopadhyay and A. Bhowmick. Low and high temperature degradation of polymer/in situ silica hybrid nanocomposites. Plastics, Rubber and Composites, 35:210 - 218, 2006.
"
"@Article{Amaro2017BiomechanicalAB,
 author = {Nuno Amaro and P. Morouco and M. Marques and R. Fernandes and D. Marinho},
 journal = {Journal of Human Sport and Exercise},
 pages = {1346-1360},
 title = {Biomechanical and bioenergetical evaluation of swimmers using fully-tethered swimming: A qualitative review},
 volume = {12},
 year = {2017}
}
";plain;"Nuno Amaro, P. Morouco, M. Marques, R. Fernandes, and D. Marinho. Biomechanical and bioenergetical evaluation of swimmers using fully-tethered swimming: a qualitative review. Journal of Human Sport and Exercise, 12:1346-1360, 2017.
"
"@Article{Noya2018EnvironmentalAW,
 author = {I. Noya and S. González‐García and J. Berzosa and F. Baucells and G. Feijóo and M. T. Moreira},
 booktitle = {Science of the Total Environment},
 journal = {The Science of the total environment},
 pages = {
          1317-1329
        },
 title = {Environmental and water sustainability of milk production in Northeast Spain.},
 volume = {616-617},
 year = {2018}
}
";plain;"I. Noya, S. González‐García, J. Berzosa, F. Baucells, G. Feijóo, and M. T. Moreira. Environmental and water sustainability of milk production in northeast spain. The Science of the total environment, 616-617:1317-1329, 2018.
"
"@Inproceedings{Gašparović1970GasTW,
 author = {N. Gašparović and J. Hellemans},
 pages = {953-961},
 title = {Gas Turbines with Heat Exchanger and Water Injection in the Compressed Air},
 volume = {185},
 year = {1970}
}
";plain;"N. Gašparović and J. Hellemans. Gas Turbines with Heat Exchanger and Water Injection in the Compressed Air. 1970.
"
"@Article{Alamri2013EvaluationOT,
 author = {N. Alamri},
 booktitle = {Arabian Journal of Geosciences},
 journal = {Arabian Journal of Geosciences},
 pages = {2619-2631},
 title = {Evaluation of the water resources potential at Dahaban region, western Saudi Arabia},
 volume = {6},
 year = {2013}
}
";plain;"N. Alamri. Evaluation of the water resources potential at dahaban region, western saudi arabia. Arabian Journal of Geosciences, 6:2619-2631, 2013.
"
"@Article{Jena2006DiatomsF,
 author = {Mrutyunjay Jena and S. K. Ratha and S. P. Adhikary},
 journal = {Algae},
 pages = {377-392},
 title = {Diatoms (Bacillariophyceae) from Orissa State and Neighbouring Regions, India},
 volume = {21},
 year = {2006}
}
";plain;"Mrutyunjay Jena, S. K. Ratha, and S. P. Adhikary. Diatoms (bacillariophyceae) from orissa state and neighbouring regions, india. Algae, 21:377-392, 2006.
"
"@Article{Nagano2020CrypticFD,
 author = {Y. Nagano and T. Miura and T. Tsubouchi and A. O. Lima and M. Kawato and Y. Fujiwara and K. Fujikura},
 booktitle = {Mycology},
 journal = {Mycology},
 pages = {263 - 278},
 title = {Cryptic fungal diversity revealed in deep-sea sediments associated with whale-fall chemosynthetic ecosystems},
 volume = {11},
 year = {2020}
}
";plain;"Y. Nagano, T. Miura, T. Tsubouchi, A. O. Lima, M. Kawato, Y. Fujiwara, and K. Fujikura. Cryptic fungal diversity revealed in deep-sea sediments associated with whale-fall chemosynthetic ecosystems. Mycology, 11:263 - 278, 2020.
"
"@Inproceedings{Spindler2018OptimumHP,
 author = {K. Spindler},
 title = {Optimum high pressure for transcritical CO2 heat pumps considering isentropic efficiency and gliding heat extraction.},
 year = {2018}
}
";plain;"K. Spindler. Optimum high pressure for transcritical CO2 heat pumps considering isentropic efficiency and gliding heat extraction. 2018.
"
"@Article{Tanaka2004DevelopmentOA,
 author = {Katsuyuki Tanaka and M. Uematsu},
 journal = {Transactions of the Japan Society of Mechanical Engineers. B},
 pages = {2992-2999},
 title = {Development of an Apparatus for Simultaneous Measurements of Isobaric Specific Heat Capacity and Density for Fluids at High Temperatures and Pressures},
 volume = {70},
 year = {2004}
}
";plain;"Katsuyuki Tanaka and M. Uematsu. Development of an apparatus for simultaneous measurements of isobaric specific heat capacity and density for fluids at high temperatures and pressures. Transactions of the Japan Society of Mechanical Engineers. B, 70:2992-2999, 2004.
"
"@Article{國枝2012油鉱物水システムにおける濡れ性に関する研究ミクロスケールでの接触角の測定,
 author = {真 國枝 and 晃弘 上田 and 俊文 松岡 and 弘明 岡津 and 康博 福中},
 journal = {Journal of Geography},
 pages = {31-38},
 title = {油–鉱物–水システムにおける濡れ性に関する研究―ミクロスケールでの接触角の測定―},
 volume = {121},
 year = {2012}
}
";plain;"真 國枝, 晃弘 上田, 俊文 松岡, 弘明 岡津, and 康博 福中. 油–鉱物–水システムにおける濡れ性に関する研究―ミクロスケールでの接触角の測定―. Journal of Geography, 121:31-38, 2012.
"
"@Article{Chevallier2000ContributionOM,
 author = {S. Chevallier and P. Colonna and G. D. Valle and D. Lourdin},
 journal = {Journal of Cereal Science},
 pages = {241-252},
 title = {Contribution of major ingredients during baking of biscuit dough systems},
 volume = {31},
 year = {2000}
}
";plain;"S. Chevallier, P. Colonna, G. D. Valle, and D. Lourdin. Contribution of major ingredients during baking of biscuit dough systems. Journal of Cereal Science, 31:241-252, 2000.
"
"@Inproceedings{Fazliev2009SemanticMA,
 author = {A. Fazliev and Sb Ras},
 title = {Semantic metadata application for information resources systematization in water spectroscopy},
 year = {2009}
}
";plain;"A. Fazliev and Sb Ras. Semantic metadata application for information resources systematization in water spectroscopy. 2009.
"
