Referenzstring|Style|Literaturtyp|BibTeX
"Siriwardhana, S., Weerasekera, R., Wen, E., Kaluarachchi, T., Rana, R., & Nanayakkara, S. (2023). Improving the domain adaptation of retrieval augmented generation (RAG) models for open domain question answering. Transactions of the Association for Computational Linguistics, 11, pp. 1–17. URL: https://aclanthology.org/2023.tacl-1.1, doi:10.1162/tacl_a_00530
"|apa|article|"@article{siriwardhana-etal-2023-improving,
    title = ""Improving the Domain Adaptation of Retrieval Augmented Generation ({RAG}) Models for Open Domain Question Answering"",
    author = ""Siriwardhana, Shamane  and
      Weerasekera, Rivindu  and
      Wen, Elliott  and
      Kaluarachchi, Tharindu  and
      Rana, Rajib  and
      Nanayakkara, Suranga"",
    journal = ""Transactions of the Association for Computational Linguistics"",
    volume = ""11"",
    year = ""2023"",
    address = ""Cambridge, MA"",
    publisher = ""MIT Press"",
    url = ""https://aclanthology.org/2023.tacl-1.1"",
    doi = ""10.1162/tacl_a_00530"",
    pages = ""1--17"",
}
"
"Li, B., Wisniewski, G., & Crabbé, B. (2023). Assessing the capacity of transformer to abstract syntactic representations: a contrastive analysis based on long-distance agreement. Transactions of the Association for Computational Linguistics, 11, pp. 18–33. URL: https://aclanthology.org/2023.tacl-1.2, doi:10.1162/tacl_a_00531
"|apa|article|"@article{li-etal-2023-assessing,
    title = ""Assessing the Capacity of Transformer to Abstract Syntactic Representations: A Contrastive Analysis Based on Long-distance Agreement"",
    author = ""Li, Bingzhi  and
      Wisniewski, Guillaume  and
      Crabb{\'e}, Beno{\^\i}t"",
    journal = ""Transactions of the Association for Computational Linguistics"",
    volume = ""11"",
    year = ""2023"",
    address = ""Cambridge, MA"",
    publisher = ""MIT Press"",
    url = ""https://aclanthology.org/2023.tacl-1.2"",
    doi = ""10.1162/tacl_a_00531"",
    pages = ""18--33"",
}
"
"Valvoda, J., Cotterell, R., & Teufel, S. (2023). On the role of negative precedent in legal outcome prediction. Transactions of the Association for Computational Linguistics, 11, pp. 34–48. URL: https://aclanthology.org/2023.tacl-1.3, doi:10.1162/tacl_a_00532
"|apa|article|"@article{valvoda-etal-2023-role,
    title = ""On the Role of Negative Precedent in Legal Outcome Prediction"",
    author = ""Valvoda, Josef  and
      Cotterell, Ryan  and
      Teufel, Simone"",
    journal = ""Transactions of the Association for Computational Linguistics"",
    volume = ""11"",
    year = ""2023"",
    address = ""Cambridge, MA"",
    publisher = ""MIT Press"",
    url = ""https://aclanthology.org/2023.tacl-1.3"",
    doi = ""10.1162/tacl_a_00532"",
    pages = ""34--48"",
}
"
"Sherborne, T. & Lapata, M. (2023). Meta-learning a cross-lingual manifold for semantic parsing. Transactions of the Association for Computational Linguistics, 11, pp. 49–67. URL: https://aclanthology.org/2023.tacl-1.4, doi:10.1162/tacl_a_00533
"|apa|article|"@article{sherborne-lapata-2023-meta,
    title = ""Meta-Learning a Cross-lingual Manifold for Semantic Parsing"",
    author = ""Sherborne, Tom  and
      Lapata, Mirella"",
    journal = ""Transactions of the Association for Computational Linguistics"",
    volume = ""11"",
    year = ""2023"",
    address = ""Cambridge, MA"",
    publisher = ""MIT Press"",
    url = ""https://aclanthology.org/2023.tacl-1.4"",
    doi = ""10.1162/tacl_a_00533"",
    pages = ""49--67"",
}
"
"Chen, Z., Liu, Y., Chen, L., Zhu, S., Wu, M., & Yu, K. (2023). OPAL: ontology-aware pretrained language model for end-to-end task-oriented dialogue. Transactions of the Association for Computational Linguistics, 11, pp. 68–84. URL: https://aclanthology.org/2023.tacl-1.5, doi:10.1162/tacl_a_00534
"|apa|article|"@article{chen-etal-2023-opal,
    title = ""{OPAL}: Ontology-Aware Pretrained Language Model for End-to-End Task-Oriented Dialogue"",
    author = ""Chen, Zhi  and
      Liu, Yuncong  and
      Chen, Lu  and
      Zhu, Su  and
      Wu, Mengyue  and
      Yu, Kai"",
    journal = ""Transactions of the Association for Computational Linguistics"",
    volume = ""11"",
    year = ""2023"",
    address = ""Cambridge, MA"",
    publisher = ""MIT Press"",
    url = ""https://aclanthology.org/2023.tacl-1.5"",
    doi = ""10.1162/tacl_a_00534"",
    pages = ""68--84"",
}
"
"Jones, L., Sproat, R., Ishikawa, H., & Gutkin, A. (2023). Helpful neighbors: leveraging neighbors in geographic feature pronunciation. Transactions of the Association for Computational Linguistics, 11, pp. 85–101. URL: https://aclanthology.org/2023.tacl-1.6, doi:10.1162/tacl_a_00535
"|apa|article|"@article{jones-etal-2023-helpful,
    title = ""Helpful Neighbors: Leveraging Neighbors in Geographic Feature Pronunciation"",
    author = ""Jones, Llion  and
      Sproat, Richard  and
      Ishikawa, Haruko  and
      Gutkin, Alexander"",
    journal = ""Transactions of the Association for Computational Linguistics"",
    volume = ""11"",
    year = ""2023"",
    address = ""Cambridge, MA"",
    publisher = ""MIT Press"",
    url = ""https://aclanthology.org/2023.tacl-1.6"",
    doi = ""10.1162/tacl_a_00535"",
    pages = ""85--101"",
}
"
"Meister, C., Pimentel, T., Wiher, G., & Cotterell, R. (2023). Locally typical sampling. Transactions of the Association for Computational Linguistics, 11, pp. 102–121. URL: https://aclanthology.org/2023.tacl-1.7, doi:10.1162/tacl_a_00536
"|apa|article|"@article{meister-etal-2023-locally,
    title = ""Locally Typical Sampling"",
    author = ""Meister, Clara  and
      Pimentel, Tiago  and
      Wiher, Gian  and
      Cotterell, Ryan"",
    journal = ""Transactions of the Association for Computational Linguistics"",
    volume = ""11"",
    year = ""2023"",
    address = ""Cambridge, MA"",
    publisher = ""MIT Press"",
    url = ""https://aclanthology.org/2023.tacl-1.7"",
    doi = ""10.1162/tacl_a_00536"",
    pages = ""102--121"",
}
"
"Effland, T. & Collins, M. (2023). Improving low-resource cross-lingual parsing with expected statistic regularization. Transactions of the Association for Computational Linguistics, 11, pp. 122–138. URL: https://aclanthology.org/2023.tacl-1.8, doi:10.1162/tacl_a_00537
"|apa|article|"@article{effland-collins-2023-improving,
    title = ""Improving Low-Resource Cross-lingual Parsing with Expected Statistic Regularization"",
    author = ""Effland, Thomas  and
      Collins, Michael"",
    journal = ""Transactions of the Association for Computational Linguistics"",
    volume = ""11"",
    year = ""2023"",
    address = ""Cambridge, MA"",
    publisher = ""MIT Press"",
    url = ""https://aclanthology.org/2023.tacl-1.8"",
    doi = ""10.1162/tacl_a_00537"",
    pages = ""122--138"",
}
"
"Majewska, O., Razumovskaia, E., Ponti, E. M., Vulić, I., & Korhonen, A. (2023). Cross-lingual dialogue dataset creation via outline-based generation. Transactions of the Association for Computational Linguistics, 11, pp. 139–156. URL: https://aclanthology.org/2023.tacl-1.9, doi:10.1162/tacl_a_00539
"|apa|article|"@article{majewska-etal-2023-cross,
    title = ""Cross-Lingual Dialogue Dataset Creation via Outline-Based Generation"",
    author = ""Majewska, Olga  and
      Razumovskaia, Evgeniia  and
      Ponti, Edoardo M.  and
      Vuli{\'c}, Ivan  and
      Korhonen, Anna"",
    journal = ""Transactions of the Association for Computational Linguistics"",
    volume = ""11"",
    year = ""2023"",
    address = ""Cambridge, MA"",
    publisher = ""MIT Press"",
    url = ""https://aclanthology.org/2023.tacl-1.9"",
    doi = ""10.1162/tacl_a_00539"",
    pages = ""139--156"",
}
"
"Song, Y. & Beck, D. (2023). Modeling emotion dynamics in song lyrics with state space models. Transactions of the Association for Computational Linguistics, 11, pp. 157–175. URL: https://aclanthology.org/2023.tacl-1.10, doi:10.1162/tacl_a_00541
"|apa|article|"@article{song-beck-2023-modeling,
    title = ""Modeling Emotion Dynamics in Song Lyrics with State Space Models"",
    author = ""Song, Yingjin  and
      Beck, Daniel"",
    journal = ""Transactions of the Association for Computational Linguistics"",
    volume = ""11"",
    year = ""2023"",
    address = ""Cambridge, MA"",
    publisher = ""MIT Press"",
    url = ""https://aclanthology.org/2023.tacl-1.10"",
    doi = ""10.1162/tacl_a_00541"",
    pages = ""157--175"",
}
"
"Ananthram, A., Winn, O., & Muresan, S. (2023). FeelingBlue: a corpus for understanding the emotional connotation of color in context. Transactions of the Association for Computational Linguistics, 11, pp. 176–190. URL: https://aclanthology.org/2023.tacl-1.11, doi:10.1162/tacl_a_00540
"|apa|article|"@article{ananthram-etal-2023-feelingblue,
    title = ""{F}eeling{B}lue: A Corpus for Understanding the Emotional Connotation of Color in Context"",
    author = ""Ananthram, Amith  and
      Winn, Olivia  and
      Muresan, Smaranda"",
    journal = ""Transactions of the Association for Computational Linguistics"",
    volume = ""11"",
    year = ""2023"",
    address = ""Cambridge, MA"",
    publisher = ""MIT Press"",
    url = ""https://aclanthology.org/2023.tacl-1.11"",
    doi = ""10.1162/tacl_a_00540"",
    pages = ""176--190"",
}
"
