Referenzstring|Style|Literaturtyp|BibTeX
"Siriwardhana, S., Weerasekera, R., Wen, E., Kaluarachchi, T., Rana, R., & Nanayakkara, S. 2023. ""Improving the Domain Adaptation of Retrieval Augmented Generation (RAG) Models for Open Domain Question Answering"". Transactions of the Association for Computational Linguistics, 11: 1–17. URL: https://aclanthology.org/2023.tacl-1.1, doi:10.1162/tacl_a_00530.
"|harvard|article|"@article{siriwardhana-etal-2023-improving,
    title = ""Improving the Domain Adaptation of Retrieval Augmented Generation ({RAG}) Models for Open Domain Question Answering"",
    author = ""Siriwardhana, Shamane  and
      Weerasekera, Rivindu  and
      Wen, Elliott  and
      Kaluarachchi, Tharindu  and
      Rana, Rajib  and
      Nanayakkara, Suranga"",
    journal = ""Transactions of the Association for Computational Linguistics"",
    volume = ""11"",
    year = ""2023"",
    address = ""Cambridge, MA"",
    publisher = ""MIT Press"",
    url = ""https://aclanthology.org/2023.tacl-1.1"",
    doi = ""10.1162/tacl_a_00530"",
    pages = ""1--17"",
}
"
"Li, B., Wisniewski, G., & Crabbé, B. 2023. ""Assessing the Capacity of Transformer to Abstract Syntactic Representations: A Contrastive Analysis Based on Long-distance Agreement"". Transactions of the Association for Computational Linguistics, 11: 18–33. URL: https://aclanthology.org/2023.tacl-1.2, doi:10.1162/tacl_a_00531.
"|harvard|article|"@article{li-etal-2023-assessing,
    title = ""Assessing the Capacity of Transformer to Abstract Syntactic Representations: A Contrastive Analysis Based on Long-distance Agreement"",
    author = ""Li, Bingzhi  and
      Wisniewski, Guillaume  and
      Crabb{\'e}, Beno{\^\i}t"",
    journal = ""Transactions of the Association for Computational Linguistics"",
    volume = ""11"",
    year = ""2023"",
    address = ""Cambridge, MA"",
    publisher = ""MIT Press"",
    url = ""https://aclanthology.org/2023.tacl-1.2"",
    doi = ""10.1162/tacl_a_00531"",
    pages = ""18--33"",
}
"
"Valvoda, J., Cotterell, R., & Teufel, S. 2023. ""On the Role of Negative Precedent in Legal Outcome Prediction"". Transactions of the Association for Computational Linguistics, 11: 34–48. URL: https://aclanthology.org/2023.tacl-1.3, doi:10.1162/tacl_a_00532.
"|harvard|article|"@article{valvoda-etal-2023-role,
    title = ""On the Role of Negative Precedent in Legal Outcome Prediction"",
    author = ""Valvoda, Josef  and
      Cotterell, Ryan  and
      Teufel, Simone"",
    journal = ""Transactions of the Association for Computational Linguistics"",
    volume = ""11"",
    year = ""2023"",
    address = ""Cambridge, MA"",
    publisher = ""MIT Press"",
    url = ""https://aclanthology.org/2023.tacl-1.3"",
    doi = ""10.1162/tacl_a_00532"",
    pages = ""34--48"",
}
"
"Sherborne, T. & Lapata, M. 2023. ""Meta-Learning a Cross-lingual Manifold for Semantic Parsing"". Transactions of the Association for Computational Linguistics, 11: 49–67. URL: https://aclanthology.org/2023.tacl-1.4, doi:10.1162/tacl_a_00533.
"|harvard|article|"@article{sherborne-lapata-2023-meta,
    title = ""Meta-Learning a Cross-lingual Manifold for Semantic Parsing"",
    author = ""Sherborne, Tom  and
      Lapata, Mirella"",
    journal = ""Transactions of the Association for Computational Linguistics"",
    volume = ""11"",
    year = ""2023"",
    address = ""Cambridge, MA"",
    publisher = ""MIT Press"",
    url = ""https://aclanthology.org/2023.tacl-1.4"",
    doi = ""10.1162/tacl_a_00533"",
    pages = ""49--67"",
}
"
"Chen, Z., Liu, Y., Chen, L., Zhu, S., Wu, M., & Yu, K. 2023. ""OPAL: Ontology-Aware Pretrained Language Model for End-to-End Task-Oriented Dialogue"". Transactions of the Association for Computational Linguistics, 11: 68–84. URL: https://aclanthology.org/2023.tacl-1.5, doi:10.1162/tacl_a_00534.
"|harvard|article|"@article{chen-etal-2023-opal,
    title = ""{OPAL}: Ontology-Aware Pretrained Language Model for End-to-End Task-Oriented Dialogue"",
    author = ""Chen, Zhi  and
      Liu, Yuncong  and
      Chen, Lu  and
      Zhu, Su  and
      Wu, Mengyue  and
      Yu, Kai"",
    journal = ""Transactions of the Association for Computational Linguistics"",
    volume = ""11"",
    year = ""2023"",
    address = ""Cambridge, MA"",
    publisher = ""MIT Press"",
    url = ""https://aclanthology.org/2023.tacl-1.5"",
    doi = ""10.1162/tacl_a_00534"",
    pages = ""68--84"",
}
"
"Jones, L., Sproat, R., Ishikawa, H., & Gutkin, A. 2023. ""Helpful Neighbors: Leveraging Neighbors in Geographic Feature Pronunciation"". Transactions of the Association for Computational Linguistics, 11: 85–101. URL: https://aclanthology.org/2023.tacl-1.6, doi:10.1162/tacl_a_00535.
"|harvard|article|"@article{jones-etal-2023-helpful,
    title = ""Helpful Neighbors: Leveraging Neighbors in Geographic Feature Pronunciation"",
    author = ""Jones, Llion  and
      Sproat, Richard  and
      Ishikawa, Haruko  and
      Gutkin, Alexander"",
    journal = ""Transactions of the Association for Computational Linguistics"",
    volume = ""11"",
    year = ""2023"",
    address = ""Cambridge, MA"",
    publisher = ""MIT Press"",
    url = ""https://aclanthology.org/2023.tacl-1.6"",
    doi = ""10.1162/tacl_a_00535"",
    pages = ""85--101"",
}
"
"Meister, C., Pimentel, T., Wiher, G., & Cotterell, R. 2023. ""Locally Typical Sampling"". Transactions of the Association for Computational Linguistics, 11: 102–121. URL: https://aclanthology.org/2023.tacl-1.7, doi:10.1162/tacl_a_00536.
"|harvard|article|"@article{meister-etal-2023-locally,
    title = ""Locally Typical Sampling"",
    author = ""Meister, Clara  and
      Pimentel, Tiago  and
      Wiher, Gian  and
      Cotterell, Ryan"",
    journal = ""Transactions of the Association for Computational Linguistics"",
    volume = ""11"",
    year = ""2023"",
    address = ""Cambridge, MA"",
    publisher = ""MIT Press"",
    url = ""https://aclanthology.org/2023.tacl-1.7"",
    doi = ""10.1162/tacl_a_00536"",
    pages = ""102--121"",
}
"
"Effland, T. & Collins, M. 2023. ""Improving Low-Resource Cross-lingual Parsing with Expected Statistic Regularization"". Transactions of the Association for Computational Linguistics, 11: 122–138. URL: https://aclanthology.org/2023.tacl-1.8, doi:10.1162/tacl_a_00537.
"|harvard|article|"@article{effland-collins-2023-improving,
    title = ""Improving Low-Resource Cross-lingual Parsing with Expected Statistic Regularization"",
    author = ""Effland, Thomas  and
      Collins, Michael"",
    journal = ""Transactions of the Association for Computational Linguistics"",
    volume = ""11"",
    year = ""2023"",
    address = ""Cambridge, MA"",
    publisher = ""MIT Press"",
    url = ""https://aclanthology.org/2023.tacl-1.8"",
    doi = ""10.1162/tacl_a_00537"",
    pages = ""122--138"",
}
"
"Majewska, O., Razumovskaia, E., Ponti, E. M., Vulić, I., & Korhonen, A. 2023. ""Cross-Lingual Dialogue Dataset Creation via Outline-Based Generation"". Transactions of the Association for Computational Linguistics, 11: 139–156. URL: https://aclanthology.org/2023.tacl-1.9, doi:10.1162/tacl_a_00539.
"|harvard|article|"@article{majewska-etal-2023-cross,
    title = ""Cross-Lingual Dialogue Dataset Creation via Outline-Based Generation"",
    author = ""Majewska, Olga  and
      Razumovskaia, Evgeniia  and
      Ponti, Edoardo M.  and
      Vuli{\'c}, Ivan  and
      Korhonen, Anna"",
    journal = ""Transactions of the Association for Computational Linguistics"",
    volume = ""11"",
    year = ""2023"",
    address = ""Cambridge, MA"",
    publisher = ""MIT Press"",
    url = ""https://aclanthology.org/2023.tacl-1.9"",
    doi = ""10.1162/tacl_a_00539"",
    pages = ""139--156"",
}
"
"Song, Y. & Beck, D. 2023. ""Modeling Emotion Dynamics in Song Lyrics with State Space Models"". Transactions of the Association for Computational Linguistics, 11: 157–175. URL: https://aclanthology.org/2023.tacl-1.10, doi:10.1162/tacl_a_00541.
"|harvard|article|"@article{song-beck-2023-modeling,
    title = ""Modeling Emotion Dynamics in Song Lyrics with State Space Models"",
    author = ""Song, Yingjin  and
      Beck, Daniel"",
    journal = ""Transactions of the Association for Computational Linguistics"",
    volume = ""11"",
    year = ""2023"",
    address = ""Cambridge, MA"",
    publisher = ""MIT Press"",
    url = ""https://aclanthology.org/2023.tacl-1.10"",
    doi = ""10.1162/tacl_a_00541"",
    pages = ""157--175"",
}
"
"Ananthram, A., Winn, O., & Muresan, S. 2023. ""FeelingBlue: A Corpus for Understanding the Emotional Connotation of Color in Context"". Transactions of the Association for Computational Linguistics, 11: 176–190. URL: https://aclanthology.org/2023.tacl-1.11, doi:10.1162/tacl_a_00540.
"|harvard|article|"@article{ananthram-etal-2023-feelingblue,
    title = ""{F}eeling{B}lue: A Corpus for Understanding the Emotional Connotation of Color in Context"",
    author = ""Ananthram, Amith  and
      Winn, Olivia  and
      Muresan, Smaranda"",
    journal = ""Transactions of the Association for Computational Linguistics"",
    volume = ""11"",
    year = ""2023"",
    address = ""Cambridge, MA"",
    publisher = ""MIT Press"",
    url = ""https://aclanthology.org/2023.tacl-1.11"",
    doi = ""10.1162/tacl_a_00540"",
    pages = ""176--190"",
}
"
