Referenzstring|Style|Literaturtyp|BibTeX
"Siriwardhana, Shamane, Weerasekera, Rivindu, Wen, Elliott, Kaluarachchi, Tharindu, Rana, Rajib, and Nanayakkara, Suranga. ""Improving the domain adaptation of retrieval augmented generation (RAG) models for open domain question answering."" Transactions of the Association for Computational Linguistics (2023): 1–17. URL: https://aclanthology.org/2023.tacl-1.1, doi:10.1162/tacl_a_00530
"|mla|article|"@article{siriwardhana-etal-2023-improving,
    title = ""Improving the Domain Adaptation of Retrieval Augmented Generation ({RAG}) Models for Open Domain Question Answering"",
    author = ""Siriwardhana, Shamane  and
      Weerasekera, Rivindu  and
      Wen, Elliott  and
      Kaluarachchi, Tharindu  and
      Rana, Rajib  and
      Nanayakkara, Suranga"",
    journal = ""Transactions of the Association for Computational Linguistics"",
    volume = ""11"",
    year = ""2023"",
    address = ""Cambridge, MA"",
    publisher = ""MIT Press"",
    url = ""https://aclanthology.org/2023.tacl-1.1"",
    doi = ""10.1162/tacl_a_00530"",
    pages = ""1--17"",
}
"
"Li, Bingzhi, Wisniewski, Guillaume, and Crabbé, Benoît. ""Assessing the capacity of transformer to abstract syntactic representations: a contrastive analysis based on long-distance agreement."" Transactions of the Association for Computational Linguistics (2023): 18–33. URL: https://aclanthology.org/2023.tacl-1.2, doi:10.1162/tacl_a_00531
"|mla|article|"@article{li-etal-2023-assessing,
    title = ""Assessing the Capacity of Transformer to Abstract Syntactic Representations: A Contrastive Analysis Based on Long-distance Agreement"",
    author = ""Li, Bingzhi  and
      Wisniewski, Guillaume  and
      Crabb{\'e}, Beno{\^\i}t"",
    journal = ""Transactions of the Association for Computational Linguistics"",
    volume = ""11"",
    year = ""2023"",
    address = ""Cambridge, MA"",
    publisher = ""MIT Press"",
    url = ""https://aclanthology.org/2023.tacl-1.2"",
    doi = ""10.1162/tacl_a_00531"",
    pages = ""18--33"",
}
"
"Valvoda, Josef, Cotterell, Ryan, and Teufel, Simone. ""On the role of negative precedent in legal outcome prediction."" Transactions of the Association for Computational Linguistics (2023): 34–48. URL: https://aclanthology.org/2023.tacl-1.3, doi:10.1162/tacl_a_00532
"|mla|article|"@article{valvoda-etal-2023-role,
    title = ""On the Role of Negative Precedent in Legal Outcome Prediction"",
    author = ""Valvoda, Josef  and
      Cotterell, Ryan  and
      Teufel, Simone"",
    journal = ""Transactions of the Association for Computational Linguistics"",
    volume = ""11"",
    year = ""2023"",
    address = ""Cambridge, MA"",
    publisher = ""MIT Press"",
    url = ""https://aclanthology.org/2023.tacl-1.3"",
    doi = ""10.1162/tacl_a_00532"",
    pages = ""34--48"",
}
"
"Sherborne, Tom, and Lapata, Mirella. ""Meta-learning a cross-lingual manifold for semantic parsing."" Transactions of the Association for Computational Linguistics (2023): 49–67. URL: https://aclanthology.org/2023.tacl-1.4, doi:10.1162/tacl_a_00533
"|mla|article|"@article{sherborne-lapata-2023-meta,
    title = ""Meta-Learning a Cross-lingual Manifold for Semantic Parsing"",
    author = ""Sherborne, Tom  and
      Lapata, Mirella"",
    journal = ""Transactions of the Association for Computational Linguistics"",
    volume = ""11"",
    year = ""2023"",
    address = ""Cambridge, MA"",
    publisher = ""MIT Press"",
    url = ""https://aclanthology.org/2023.tacl-1.4"",
    doi = ""10.1162/tacl_a_00533"",
    pages = ""49--67"",
}
"
"Chen, Zhi, Liu, Yuncong, Chen, Lu, Zhu, Su, Wu, Mengyue, and Yu, Kai. ""OPAL: ontology-aware pretrained language model for end-to-end task-oriented dialogue."" Transactions of the Association for Computational Linguistics (2023): 68–84. URL: https://aclanthology.org/2023.tacl-1.5, doi:10.1162/tacl_a_00534
"|mla|article|"@article{chen-etal-2023-opal,
    title = ""{OPAL}: Ontology-Aware Pretrained Language Model for End-to-End Task-Oriented Dialogue"",
    author = ""Chen, Zhi  and
      Liu, Yuncong  and
      Chen, Lu  and
      Zhu, Su  and
      Wu, Mengyue  and
      Yu, Kai"",
    journal = ""Transactions of the Association for Computational Linguistics"",
    volume = ""11"",
    year = ""2023"",
    address = ""Cambridge, MA"",
    publisher = ""MIT Press"",
    url = ""https://aclanthology.org/2023.tacl-1.5"",
    doi = ""10.1162/tacl_a_00534"",
    pages = ""68--84"",
}
"
"Jones, Llion, Sproat, Richard, Ishikawa, Haruko, and Gutkin, Alexander. ""Helpful neighbors: leveraging neighbors in geographic feature pronunciation."" Transactions of the Association for Computational Linguistics (2023): 85–101. URL: https://aclanthology.org/2023.tacl-1.6, doi:10.1162/tacl_a_00535
"|mla|article|"@article{jones-etal-2023-helpful,
    title = ""Helpful Neighbors: Leveraging Neighbors in Geographic Feature Pronunciation"",
    author = ""Jones, Llion  and
      Sproat, Richard  and
      Ishikawa, Haruko  and
      Gutkin, Alexander"",
    journal = ""Transactions of the Association for Computational Linguistics"",
    volume = ""11"",
    year = ""2023"",
    address = ""Cambridge, MA"",
    publisher = ""MIT Press"",
    url = ""https://aclanthology.org/2023.tacl-1.6"",
    doi = ""10.1162/tacl_a_00535"",
    pages = ""85--101"",
}
"
"Meister, Clara, Pimentel, Tiago, Wiher, Gian, and Cotterell, Ryan. ""Locally typical sampling."" Transactions of the Association for Computational Linguistics (2023): 102–121. URL: https://aclanthology.org/2023.tacl-1.7, doi:10.1162/tacl_a_00536
"|mla|article|"@article{meister-etal-2023-locally,
    title = ""Locally Typical Sampling"",
    author = ""Meister, Clara  and
      Pimentel, Tiago  and
      Wiher, Gian  and
      Cotterell, Ryan"",
    journal = ""Transactions of the Association for Computational Linguistics"",
    volume = ""11"",
    year = ""2023"",
    address = ""Cambridge, MA"",
    publisher = ""MIT Press"",
    url = ""https://aclanthology.org/2023.tacl-1.7"",
    doi = ""10.1162/tacl_a_00536"",
    pages = ""102--121"",
}
"
"Effland, Thomas, and Collins, Michael. ""Improving low-resource cross-lingual parsing with expected statistic regularization."" Transactions of the Association for Computational Linguistics (2023): 122–138. URL: https://aclanthology.org/2023.tacl-1.8, doi:10.1162/tacl_a_00537
"|mla|article|"@article{effland-collins-2023-improving,
    title = ""Improving Low-Resource Cross-lingual Parsing with Expected Statistic Regularization"",
    author = ""Effland, Thomas  and
      Collins, Michael"",
    journal = ""Transactions of the Association for Computational Linguistics"",
    volume = ""11"",
    year = ""2023"",
    address = ""Cambridge, MA"",
    publisher = ""MIT Press"",
    url = ""https://aclanthology.org/2023.tacl-1.8"",
    doi = ""10.1162/tacl_a_00537"",
    pages = ""122--138"",
}
"
"Majewska, Olga, Razumovskaia, Evgeniia, Ponti, Edoardo M., Vulić, Ivan, and Korhonen, Anna. ""Cross-lingual dialogue dataset creation via outline-based generation."" Transactions of the Association for Computational Linguistics (2023): 139–156. URL: https://aclanthology.org/2023.tacl-1.9, doi:10.1162/tacl_a_00539
"|mla|article|"@article{majewska-etal-2023-cross,
    title = ""Cross-Lingual Dialogue Dataset Creation via Outline-Based Generation"",
    author = ""Majewska, Olga  and
      Razumovskaia, Evgeniia  and
      Ponti, Edoardo M.  and
      Vuli{\'c}, Ivan  and
      Korhonen, Anna"",
    journal = ""Transactions of the Association for Computational Linguistics"",
    volume = ""11"",
    year = ""2023"",
    address = ""Cambridge, MA"",
    publisher = ""MIT Press"",
    url = ""https://aclanthology.org/2023.tacl-1.9"",
    doi = ""10.1162/tacl_a_00539"",
    pages = ""139--156"",
}
"
"Song, Yingjin, and Beck, Daniel. ""Modeling emotion dynamics in song lyrics with state space models."" Transactions of the Association for Computational Linguistics (2023): 157–175. URL: https://aclanthology.org/2023.tacl-1.10, doi:10.1162/tacl_a_00541
"|mla|article|"@article{song-beck-2023-modeling,
    title = ""Modeling Emotion Dynamics in Song Lyrics with State Space Models"",
    author = ""Song, Yingjin  and
      Beck, Daniel"",
    journal = ""Transactions of the Association for Computational Linguistics"",
    volume = ""11"",
    year = ""2023"",
    address = ""Cambridge, MA"",
    publisher = ""MIT Press"",
    url = ""https://aclanthology.org/2023.tacl-1.10"",
    doi = ""10.1162/tacl_a_00541"",
    pages = ""157--175"",
}
"
"Ananthram, Amith, Winn, Olivia, and Muresan, Smaranda. ""FeelingBlue: a corpus for understanding the emotional connotation of color in context."" Transactions of the Association for Computational Linguistics (2023): 176–190. URL: https://aclanthology.org/2023.tacl-1.11, doi:10.1162/tacl_a_00540
"|mla|article|"@article{ananthram-etal-2023-feelingblue,
    title = ""{F}eeling{B}lue: A Corpus for Understanding the Emotional Connotation of Color in Context"",
    author = ""Ananthram, Amith  and
      Winn, Olivia  and
      Muresan, Smaranda"",
    journal = ""Transactions of the Association for Computational Linguistics"",
    volume = ""11"",
    year = ""2023"",
    address = ""Cambridge, MA"",
    publisher = ""MIT Press"",
    url = ""https://aclanthology.org/2023.tacl-1.11"",
    doi = ""10.1162/tacl_a_00540"",
    pages = ""176--190"",
}
"
"Chen, Jiaao, Tam, Derek, Raffel, Colin, Bansal, Mohit, and Yang, Diyi. ""An empirical survey of data augmentation for limited data learning in NLP."" Transactions of the Association for Computational Linguistics (2023): 191–211. URL: https://aclanthology.org/2023.tacl-1.12, doi:10.1162/tacl_a_00542
"|mla|article|"@article{chen-etal-2023-empirical,
    title = ""An Empirical Survey of Data Augmentation for Limited Data Learning in {NLP}"",
    author = ""Chen, Jiaao  and
      Tam, Derek  and
      Raffel, Colin  and
      Bansal, Mohit  and
      Yang, Diyi"",
    journal = ""Transactions of the Association for Computational Linguistics"",
    volume = ""11"",
    year = ""2023"",
    address = ""Cambridge, MA"",
    publisher = ""MIT Press"",
    url = ""https://aclanthology.org/2023.tacl-1.12"",
    doi = ""10.1162/tacl_a_00542"",
    pages = ""191--211"",
}
"
"Bohnet, Bernd, Alberti, Chris, and Collins, Michael. ""Coreference resolution through a seq2seq transition-based system."" Transactions of the Association for Computational Linguistics (2023): 212–226. URL: https://aclanthology.org/2023.tacl-1.13, doi:10.1162/tacl_a_00543
"|mla|article|"@article{bohnet-etal-2023-coreference,
    title = ""Coreference Resolution through a seq2seq Transition-Based System"",
    author = ""Bohnet, Bernd  and
      Alberti, Chris  and
      Collins, Michael"",
    journal = ""Transactions of the Association for Computational Linguistics"",
    volume = ""11"",
    year = ""2023"",
    address = ""Cambridge, MA"",
    publisher = ""MIT Press"",
    url = ""https://aclanthology.org/2023.tacl-1.13"",
    doi = ""10.1162/tacl_a_00543"",
    pages = ""212--226"",
}
"
